-1.7,8.4,0,6.8,4,1.2,-7,21,54.8,10.9,10,0.3,0.3,4,-10.7,12000,2.7
-4.7,12.9,0,6.3,4.1,1.3,-10.9,14,38.4,10.9,10,0.1,0,3.5,-12.9,12000,4
-1.2,17.1,0,10.9,5.2,1.5,-3,23,46.5,10.9,8.4,4.6,1.8,6.4,-10.2,11000,8.9
1.9,14.1,0,12.5,7.6,3.9,-5.7,12,40.9,11,6,5.3,2.9,10.2,-0.9,11000,9.3
-2.1,5.4,0,13.5,7.8,4.7,-16.3,13,27.4,11,10.3,0.9,0,3.3,-4.7,11000,1.3
-3.6,12.3,0.1,6.7,4.1,1.4,-6.7,15,49.4,11.1,7.6,5.9,3.8,5.5,-11.7,11000,4.5
-1.3,9.5,5.5,16.4,9.4,4.1,-5.5,18,52.3,11.1,8,3.8,2.8,6.8,-3.3,11000,5.2
-4.9,9.7,0,5.7,4,1.6,-7.5,24,50.1,11.1,10.4,2.9,0.8,4.5,-11.1,10000,2.7
1.2,4.9,19.5,7.1,4.6,1.6,1.2,67,85.6,11.2,0,9.9,7.4,4.3,-2.1,10000,3.5
-1,5.3,0,10.9,7,4.3,-7.4,24,50.5,11.2,3,3.9,1.5,3.4,-2.6,10000,2.4
-3,7.1,0,10.6,6.5,3.7,-12.6,19,35.4,11.2,9.8,0.4,0,2.2,-5.3,10000,1.7
-2.6,10.3,0,8.6,5.8,1.9,-9.6,13,41.6,11.3,10.4,0.6,0,3.1,-8.6,10000,4.1
-1.7,11,0,7.5,4.7,1.4,-5.3,23,51.4,11.3,10.2,3.1,0.8,4.8,-7.4,10000,4.8
-0.6,12.8,0,8.2,5.4,1.8,-1.1,21,67.1,11.3,8.3,3.3,3.3,7.2,-7,10000,5.3
1.4,13.9,0,6.4,3.6,1.3,-4.1,15,52,11.4,10.2,1.1,1.1,8.6,-3.6,10000,7.1
1.3,13.7,0.5,4.7,2.9,1.1,-3.8,18,50,11.4,4.3,8.3,1.4,8.5,-2.5,11000,7.5
1.7,8.7,5,10.6,7.1,3.8,-2.1,37,61.6,11.4,3.8,5.9,4.8,5.8,-0.9,12000,5.2
-0.1,13.3,0,6.6,4.5,2.4,-8.7,16,36.4,11.5,10.6,1.5,0,6.5,-2.9,12000,6.2
1.5,15.8,0,5.8,4.1,1.2,-5,14,44.4,11.5,9.2,2.8,0.8,9.2,-4.1,13500,8.2
1.2,15.9,0,6.2,4.2,0.9,-5.3,12,45.3,11.6,6.2,4.6,0,8.5,-4.4,13500,8.3
0.7,9.1,0,14.9,8,5,-11.9,12,32.9,11.6,10.2,2.8,1.3,7.6,-1.5,15000,4.7
-1.6,5.3,0,12.9,7.5,4.5,-12.4,20,37.5,11.6,9.4,1.6,1.1,5,-7.3,15000,1.3
-2.5,6.5,0,10.6,6.9,4.3,-10.2,26,40.5,11.7,9.2,2.8,2.8,5,-5,15000,2.2
0.7,13.1,0,14.4,9.3,4.6,-10.4,13,31.8,11.7,10.6,0.3,0.3,8.1,-2.1,13000,6.6
1.2,13.6,0,11.1,6.6,3,-10.7,13,28.9,11.7,10.8,0,0,9.3,-5.5,13000,7.3
-1.5,16.8,0,5.8,3.3,1.3,-7.7,11,39,11.8,10.8,0.5,0,9.4,-7.7,12500,7.9
1,18.7,0,5.9,3.3,1.3,-6.2,10,36.6,11.8,9.2,3.8,0.9,11.4,-5.8,12500,10.8
7.7,16.3,0,9.9,6.7,2.7,-2.3,17,44.4,11.9,9,6.5,2,13.3,4.7,12000,10.1
4.6,14,0,10.4,7.2,2.6,-2.4,15,52.9,11.9,10.1,5.1,5.1,12.5,-2.1,12000,8.3
-0.1,13,0,9.4,6,2.1,-4.8,17,51.6,11.9,11.1,1,1,10.8,-6.9,10000,6.6
0.8,14.3,0,6.2,4,1.7,-4.2,21,46.4,12,8.6,3.5,1.5,12.4,-5.8,10000,8.7
2.1,16.8,0,5.5,3.4,1.3,-7.6,12,33,12,11,0,0,12.5,-6.3,10000,9.4
3.1,17.5,0,8.1,4.7,1.2,-5.3,14,38,12.1,6.6,3.9,0.6,11.6,-2.5,10000,10.3
2.3,18.6,0,7.7,4.8,1.8,-4.1,13,39.9,12.1,10.3,1.3,0,13.6,-4.7,10000,10.4
2.2,15,6,6.1,3.6,1.2,3.3,36,74.3,12.1,3,6.9,4.4,9.6,-3.8,10000,8.1
5.3,15.3,3,11.5,6.4,2.7,1.5,23,64,12.2,10,3.9,3.8,12,-0.3,11000,8.9
0.9,15.5,0,6.7,4.5,1.5,-6,12,44.5,12.2,8.2,5.6,0,11.1,-5.1,11000,8.9
7.3,17.1,0,10.6,6.2,2.3,-4.9,13,37.3,12.3,8.4,4.6,1.6,14,5.2,11000,11.4
6.1,14.3,0,8.3,5.2,2.7,-0.8,30,49.4,12.3,4.1,6.9,5.1,12.7,3.9,11000,9.7
4,10.4,18.5,5.9,4.1,1.4,3.9,52,85.3,12.3,0.4,9.9,7.3,8.5,4.2,10500,6.3
4,11.4,4,9.3,6.1,1.4,3.1,51,80.6,12.4,2,7.8,6.3,9.3,0.9,10500,6.5
3.3,10.7,0.5,13,8,2.7,0.4,43,67.1,12.4,2.6,5.5,5.5,8.1,-0.9,10000,6.4
0.4,15.3,0,10.9,3.7,1.3,-2.4,21,52.3,12.4,8.9,4.3,1.5,10.3,-5.4,10000,8.8
5.4,15.2,0.4,7.7,4.2,2,4.5,41,70.8,12.5,6.8,6,3,12.8,4.5,10000,9.8
5,20.2,0,9.3,6,2.2,1.7,15,58,12.5,10,2.9,2.1,14.7,-1.3,10000,11.9
7.3,11,0.5,9,5.1,3.3,4.2,62,71,12.5,0,10,6,10,6.4,12000,9.3
5.1,11,5.5,9.3,6.1,1.2,4.5,55,81.6,12.6,1.9,7.1,6.4,10.4,0.1,12000,7.6
2.1,15.8,0,8.9,6,1.8,-1.6,17,55.6,12.6,9.8,2.9,2.9,13,-0.4,12000,9.2
5.3,21.9,0,10.7,6.6,2.5,-4.1,15,31.4,12.7,11.8,0,0,14.2,0,12000,13.9
5.3,23.2,0,6.7,3.6,1.3,0.6,19,40.4,12.7,10.5,3.4,0,15.8,-1.6,12000,15.4
12.2,17.2,4,7.7,4.2,1.9,8.4,38,69,12.7,0,9.9,6.4,13.4,8.8,12000,14.6
14.9,21,5,8.1,5,2.1,13.7,64,82,12.8,1.2,8.5,6,16.8,11.9,13000,16.9
8.9,22.6,0,9.2,6.4,2.5,8.8,36,66.6,12.8,11.4,1.5,0,18.3,4.5,13000,15.8
9.2,27.2,0,6.1,4,1.4,6.6,19,53,12.8,8.6,3.9,0,20.1,4.9,13000,18.7
11.1,17.1,0,12.3,7.5,4.1,5.2,36,59.9,12.9,0,8.6,5.1,14.4,9.9,13000,13.3
9.3,16.4,1.5,13.2,7.8,4.6,3.8,35,59.8,12.9,10.2,6.1,2.6,16.2,7.7,13000,12
8.3,19,17.5,9.8,6.4,3,6.7,40,69.9,13,6.2,6.1,3.1,14.5,8.3,12000,13
11,19.4,0,12.6,7.2,3.7,-6.5,14,23.8,13,8.7,5,0,15.6,9.2,11000,14.6
5.9,23.4,0,11.7,7.1,2.5,-1.9,17,31.9,13,11.4,0.3,0.3,17.3,-0.8,12000,15.6
8.9,22.7,0,10.7,5.9,1.9,4.7,19,49.4,13.1,8.2,4.9,1.6,15.9,2.6,13000,16.2
13.7,27.5,0,9,3.8,1.9,6.2,18,42.3,13.1,11.8,3.1,2.3,23.2,8.7,14000,20.6
12,29,0,6.9,3.4,1.3,2.6,12,38.3,13.1,10.6,4.6,0,23,6.3,14000,20.6
12,17.8,11,7.3,4.4,1.7,10.5,39,83.3,13.2,0,8.8,6.3,13.7,7.1,15000,13.7
9.7,24.3,4.5,12.5,7,2.4,8.5,35,66.4,13.2,8.4,2.1,1.5,19.1,4.3,13000,15.6
10.4,21.2,0,12.5,7,3.9,-0.2,23,34.5,13.2,12.3,2.1,1.4,18.3,8,13000,15.8
10.6,19.6,0.5,8,4.8,1.6,4,24,56.5,13.3,1.2,9.3,6.3,15.3,9.2,12000,13.9
8.7,21.3,0,8.5,5.3,2.1,6,25,61.6,13.3,8.6,7.3,0,18.6,5.3,12000,14.7
8.9,21.4,0,10.8,6.6,2.3,6.4,26,65.3,13.4,10,2,1.4,19.4,5.8,13000,13.9
7.5,23.7,0,6.9,4.1,1.5,3.8,20,52.6,13.4,12.3,0.1,0.1,21.2,2,13000,15.9
8.6,25.2,0,9.3,5.1,1.7,4.7,17,48.8,13.4,12,0.4,0.1,22.4,0.9,14000,17.1
14,24.4,0,7.8,4.6,1.6,10.5,32,58.6,13.5,2.7,7.4,1.6,21.6,9.6,15000,19.5
13,20.9,3.5,9.4,5.2,2,6,18,58.6,13.5,5.1,7.1,1.4,18.7,10,15000,16
10.9,20.5,0,10.7,6.3,3.3,-2.9,17,29.3,13.5,10.7,2.6,0.4,19.1,5.5,15000,15.4
7,26.3,0,12.3,7.3,2.8,-2.2,14,29.6,13.6,11.8,1.1,0.9,20.9,-0.2,16000,17.7
10,27.9,0,14.4,6.9,2.2,1,14,31.8,13.6,12.4,0,0,24.2,2.4,16000,19.7
14.5,31.1,0,9.5,5.6,2.5,7.1,25,35.9,13.6,11.5,0.4,0,26.1,6,16000,23.5
13.3,23.3,0,11.4,6.6,3.8,4.5,24,42.6,13.6,11.6,0.6,0,25,8.8,16000,18.5
8.5,24.7,0,9.2,5.9,2.8,4.2,26,47.1,13.7,11.3,5,0,22.4,3.2,16000,16.7
8.5,28.5,0,5.9,3.9,1.4,3.7,14,42.8,13.7,12.5,0.5,0,26.5,2.3,16000,19.3
10.7,28.4,0,5.8,3.3,1.6,9,24,51.3,13.8,9.1,5.5,1.5,26.1,5.1,16000,20.3
17.1,26.5,15.5,7.3,4.3,1.4,15.7,41,76.5,13.8,3.1,7.3,6.5,24.9,12.4,15500,20.6
15.1,25.1,0,11.8,7.4,4.1,0.4,15,32.9,13.8,8.9,4.4,0,21.6,12.2,15500,19.2
11.2,28.1,0,15.8,9.4,3.5,1,16,30.8,13.8,12.4,0.9,0,23.5,6.1,15500,20.1
10.9,27.6,0,6.7,4.3,1.7,4.3,19,36.8,13.9,7.5,6.6,2.9,23.2,5.5,15000,20.5
13.5,19.6,16.5,6.1,4,1.5,12.2,50,83.9,13.9,0,10,6.9,17.3,14,14000,15.4
13.5,21.2,0.5,11.9,6.3,1.7,13,52,82,13.9,2,7.5,5,16.3,11.4,13000,16.3
12.7,27.7,0,7.9,4.8,1.5,13.2,36,68,14,9.9,6.6,0.5,22.2,11,13000,20
15.4,20.3,0.5,5.1,3.4,1,14.7,70,81.3,14,0,8.5,3.3,17.9,12.9,13000,18
12.6,27.7,0,11.7,7.2,2.2,11.4,33,61.4,14,10.6,0.6,0.6,24,9.8,13000,20.2
14.5,25.9,0,14.4,8.6,4.6,3,18,36,14,13,2.1,0,24.4,10.1,13000,19.7
12.5,24.6,0,11.7,7.2,3.5,4.1,25,38.6,14.1,11.4,5.1,0.6,24,8.2,13000,19
14.4,23.9,0,7.3,4,2,8.7,31,54.5,14.1,7.1,6,2.5,23.8,10.4,12000,18.8
